applicant_id,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Has_been_employed_for_at_least,Has_been_employed_for_at_most,Telephone,Foreign_worker,Savings_account_balance,Balance_in_existing_bank_account_(lower_limit_of_bucket),Balance_in_existing_bank_account_(upper_limit_of_bucket)
1832835,49,male,divorced/separated,1,own,4,unskilled - resident,7 years,,Registered under the applicant's name,1,,,0
1268091,32,female,divorced/separated/married,1,own,4,skilled employee / official,0 year,1 year,,1,Low,,
1755105,29,male,single,1,rent,4,management / self-employed / highly qualified employee / officer,1 year,4 years,Registered under the applicant's name,1,Medium,,
1769868,23,male,single,1,rent,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Very high,,
1243419,50,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,
1131444,49,male,single,1,own,4,unskilled - resident,4 years,7 years,,1,,2 lac,
1844436,63,male,single,1,own,4,skilled employee / official,7 years,,,1,,,
1856693,37,male,divorced/separated,1,own,2,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Medium,0,2 lac
1405233,35,female,divorced/separated/married,1,own,1,unskilled - resident,0 year,1 year,Registered under the applicant's name,1,Low,,0
1442483,26,male,single,2,own,3,skilled employee / official,4 years,7 years,,1,Low,,0
1761078,31,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,Medium,0,2 lac
1838488,49,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,0,2 lac
1379318,48,male,married/widowed,1,own,4,skilled employee / official,0 year,1 year,,1,Low,,0
1688183,26,male,married/widowed,1,own,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,0,Low,,
1340983,28,male,married/widowed,1,rent,4,management / self-employed / highly qualified employee / officer,0 year,1 year,Registered under the applicant's name,1,Low,0,2 lac
1163798,44,female,divorced/separated/married,2,for free,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,,0
1225433,56,male,single,1,for free,4,skilled employee / official,7 years,,,1,Low,2 lac,
1563134,46,male,divorced/separated,2,own,2,management / self-employed / highly qualified employee / officer,7 years,,,1,,,
1559877,26,female,divorced/separated/married,1,own,2,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Low,0,2 lac
1437216,20,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,,1,,,
1347244,45,male,single,1,own,2,unskilled - resident,7 years,,,0,,,
1124063,43,male,single,1,own,4,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,
1395426,32,male,single,1,own,2,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Very high,0,2 lac
1313483,54,female,divorced/separated/married,1,own,4,unemployed / unskilled - non-resident,,0 year,Registered under the applicant's name,1,Low,,
1704941,42,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,0,2 lac
1420165,37,male,single,2,own,2,unskilled - resident,4 years,7 years,,1,,2 lac,
1600427,49,male,single,1,own,3,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Low,,0
1722344,44,male,single,1,for free,2,skilled employee / official,1 year,4 years,,1,High,,
1535647,33,male,divorced/separated,1,own,2,skilled employee / official,1 year,4 years,,1,Very high,,
1774831,24,female,divorced/separated/married,1,rent,4,unskilled - resident,4 years,7 years,,1,,,
1385836,33,male,married/widowed,1,own,3,unskilled - resident,0 year,1 year,Registered under the applicant's name,1,Medium,,0
1211897,24,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,4 years,,1,Low,0,2 lac
1241781,22,male,married/widowed,1,rent,4,unskilled - resident,1 year,4 years,,1,Low,0,2 lac
1538187,40,male,single,1,for free,4,unemployed / unskilled - non-resident,,0 year,Registered under the applicant's name,1,,0,2 lac
1770099,25,male,single,1,own,1,skilled employee / official,1 year,4 years,,1,Medium,,
1246068,26,female,divorced/separated/married,1,own,4,skilled employee / official,0 year,1 year,,1,Low,2 lac,
1738925,25,male,married/widowed,1,own,3,unskilled - resident,4 years,7 years,,1,Low,0,2 lac
1546660,29,male,single,2,own,2,unskilled - resident,0 year,1 year,,0,,2 lac,
1363538,31,male,single,1,own,4,skilled employee / official,7 years,,,1,Low,,0
1173975,38,male,single,2,own,3,unskilled - resident,1 year,4 years,,1,Low,,0
1527645,48,female,divorced/separated/married,1,own,4,unskilled - resident,1 year,4 years,Registered under the applicant's name,1,,0,2 lac
1269451,32,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,
1635930,27,female,divorced/separated/married,1,own,4,unskilled - resident,7 years,,,1,Low,,0
1443537,28,male,married/widowed,1,own,2,management / self-employed / highly qualified employee / officer,,0 year,,1,Low,0,2 lac
1366526,32,male,divorced/separated,1,own,3,skilled employee / official,0 year,1 year,,1,Low,,0
1492566,34,male,single,1,for free,1,management / self-employed / highly qualified employee / officer,4 years,7 years,Registered under the applicant's name,1,Low,,0
1212992,28,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Very high,,0
1449219,36,female,divorced/separated/married,1,own,3,skilled employee / official,1 year,4 years,,1,Low,,
1113782,39,male,single,1,own,4,unskilled - resident,4 years,7 years,,0,Low,,0
1127014,49,male,single,1,rent,4,skilled employee / official,7 years,,Registered under the applicant's name,1,,,
1730202,34,female,divorced/separated/married,2,own,3,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Very high,,
1831874,31,male,single,1,own,2,skilled employee / official,7 years,,,1,Low,2 lac,
1839770,28,male,single,2,own,4,skilled employee / official,7 years,,,1,Low,0,2 lac
1397184,75,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,Low,,0
1893558,30,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,,1,Medium,,
1392044,24,female,divorced/separated/married,1,own,2,management / self-employed / highly qualified employee / officer,0 year,1 year,,1,Medium,0,2 lac
1658501,24,female,divorced/separated/married,1,rent,4,unskilled - resident,1 year,4 years,,1,Medium,,
1749671,23,male,single,2,rent,4,skilled employee / official,7 years,,,1,Low,,0
1497135,44,male,divorced/separated,1,rent,4,management / self-employed / highly qualified employee / officer,1 year,4 years,Registered under the applicant's name,1,Low,,0
1742101,23,female,divorced/separated/married,1,own,4,unskilled - resident,0 year,1 year,,1,Low,0,2 lac
1674059,24,female,divorced/separated/married,1,rent,2,skilled employee / official,1 year,4 years,,1,,,0
1507864,28,male,single,1,own,4,skilled employee / official,1 year,4 years,,1,Low,,0
1191977,31,male,divorced/separated,1,own,2,unskilled - resident,1 year,4 years,,1,Low,0,2 lac
1572898,24,female,divorced/separated/married,1,for free,4,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Low,0,2 lac
1193436,26,female,divorced/separated/married,1,rent,4,unskilled - resident,4 years,7 years,,1,Low,,0
1182073,25,male,married/widowed,1,rent,3,skilled employee / official,0 year,1 year,,1,High,0,2 lac
1424965,33,male,single,1,own,1,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,0,2 lac
1608183,37,male,single,2,own,1,unskilled - resident,0 year,1 year,,1,Low,2 lac,
1473941,43,female,divorced/separated/married,1,own,2,unskilled - resident,1 year,4 years,,1,Low,,
1540515,23,male,single,1,own,4,skilled employee / official,0 year,1 year,,1,Low,0,2 lac
1318823,23,female,divorced/separated/married,1,rent,4,unemployed / unskilled - non-resident,,0 year,,1,High,0,2 lac
1545574,34,male,single,1,own,2,unskilled - resident,1 year,4 years,,1,Medium,,
1408229,32,male,single,2,for free,3,skilled employee / official,7 years,,,1,Very high,0,2 lac
1605868,23,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Low,,
1176865,29,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,,0,Low,0,2 lac
1806619,38,male,single,1,own,4,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,,,
1273483,28,male,single,1,rent,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,0
1754537,46,male,single,1,for free,4,skilled employee / official,7 years,,Registered under the applicant's name,1,High,,
1419059,23,male,single,1,own,2,unskilled - resident,0 year,1 year,,1,Low,0,2 lac
1141822,49,male,single,1,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,,,
1825588,26,male,single,1,own,2,management / self-employed / highly qualified employee / officer,1 year,4 years,Registered under the applicant's name,1,Low,,
1426103,28,male,married/widowed,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,
1227016,23,female,divorced/separated/married,1,rent,4,skilled employee / official,4 years,7 years,,1,Low,,0
1750981,61,male,single,1,for free,4,skilled employee / official,1 year,4 years,,1,,0,2 lac
1805732,37,male,single,1,own,3,management / self-employed / highly qualified employee / officer,7 years,,,1,,2 lac,
1144294,36,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,2 lac,
1476733,21,male,married/widowed,1,rent,2,skilled employee / official,1 year,4 years,,1,Low,,
1331656,25,male,single,1,own,1,unemployed / unskilled - non-resident,,0 year,,1,Low,,0
1377901,36,male,single,1,own,4,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Low,,
1213250,27,male,single,1,own,1,skilled employee / official,4 years,7 years,,1,Low,,
1787350,22,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,,1,Low,,0
1488941,42,male,single,2,own,2,skilled employee / official,7 years,,,1,Low,,0
1435055,40,female,divorced/separated/married,1,rent,4,skilled employee / official,4 years,7 years,,1,Low,0,2 lac
1471101,36,male,single,1,own,4,skilled employee / official,1 year,4 years,,1,,,
1312020,33,male,single,1,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Low,,
1511094,23,female,divorced/separated/married,1,rent,3,skilled employee / official,0 year,1 year,,1,Low,,
1703409,63,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,,,
1663400,60,female,divorced/separated/married,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Medium,0,2 lac
1632577,37,female,divorced/separated/married,1,rent,4,skilled employee / official,4 years,7 years,,1,Low,,0
1711334,34,male,married/widowed,1,own,3,skilled employee / official,,0 year,,1,Low,,
1820644,36,male,single,1,for free,4,skilled employee / official,7 years,,,1,,,
1633625,57,male,single,1,for free,2,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,0,2 lac
1493373,52,female,divorced/separated/married,1,own,4,unskilled - resident,1 year,4 years,,1,Medium,,
1140091,39,male,single,1,own,4,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,,,0
1530567,38,female,divorced/separated/married,1,for free,4,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,Low,0,2 lac
1560648,25,female,divorced/separated/married,1,rent,4,skilled employee / official,4 years,7 years,,1,,,
1835901,26,male,single,1,own,1,skilled employee / official,0 year,1 year,,1,Low,2 lac,
1446865,26,male,single,1,own,2,unskilled - resident,1 year,4 years,,1,Medium,,
1159806,25,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,4 years,,1,Low,,
1198484,21,female,divorced/separated/married,1,rent,2,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,,,
1900089,40,male,single,1,own,4,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,Low,0,2 lac
1466824,27,male,single,1,own,4,skilled employee / official,1 year,4 years,,1,High,0,2 lac
1428226,27,female,divorced/separated/married,1,own,2,skilled employee / official,4 years,7 years,,1,Low,,
1590101,30,male,married/widowed,1,own,2,management / self-employed / highly qualified employee / officer,1 year,4 years,Registered under the applicant's name,1,Low,,
1655095,19,female,divorced/separated/married,1,rent,4,unskilled - resident,0 year,1 year,,1,Very high,0,2 lac
1221103,39,male,single,2,for free,4,management / self-employed / highly qualified employee / officer,4 years,7 years,Registered under the applicant's name,1,Low,,0
1660809,31,female,divorced/separated/married,1,own,4,skilled employee / official,4 years,7 years,,1,Low,,0
1221118,31,male,single,1,own,3,management / self-employed / highly qualified employee / officer,,0 year,,1,Low,,
1462188,32,male,single,1,rent,3,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Medium,0,2 lac
1461535,55,female,divorced/separated/married,1,for free,4,management / self-employed / highly qualified employee / officer,,0 year,,1,Low,,0
1587786,46,male,married/widowed,1,own,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,0
1565522,46,male,divorced/separated,1,rent,1,skilled employee / official,7 years,,,1,Low,0,2 lac
1813841,43,female,divorced/separated/married,1,own,1,unskilled - resident,1 year,4 years,,1,Very high,,
1393314,39,male,married/widowed,1,own,4,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Low,,
1121764,28,male,married/widowed,1,own,4,skilled employee / official,1 year,4 years,,1,,0,2 lac
1147492,27,male,single,1,own,2,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Low,,
1174819,27,male,single,1,own,2,unskilled - resident,1 year,4 years,,1,Low,,
1623240,43,male,single,2,own,4,skilled employee / official,7 years,,,1,,0,2 lac
1766191,22,male,married/widowed,1,own,1,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Low,0,2 lac
1437656,43,male,single,2,own,4,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,,,
1225095,27,male,married/widowed,1,own,2,skilled employee / official,0 year,1 year,,0,Low,,0
1755656,26,male,divorced/separated,1,own,2,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,High,,
1143716,28,male,married/widowed,1,own,2,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,High,2 lac,
1465874,20,female,divorced/separated/married,1,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Low,0,2 lac
1661563,35,male,single,1,own,2,management / self-employed / highly qualified employee / officer,4 years,7 years,Registered under the applicant's name,1,Low,,
1238022,42,male,single,1,own,2,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,Low,,
1276723,40,male,single,2,rent,2,unskilled - resident,1 year,4 years,,0,High,,
1564344,35,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,,1,,,0
1774377,35,male,single,2,own,2,skilled employee / official,7 years,,Registered under the applicant's name,1,Low,,
1558926,33,male,single,2,own,1,unskilled - resident,0 year,1 year,,1,Low,,0
1555430,23,female,divorced/separated/married,1,rent,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,,,0
1529020,31,female,divorced/separated/married,1,own,2,management / self-employed / highly qualified employee / officer,4 years,7 years,,1,High,,
1291905,33,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,,1,,0,2 lac
1213257,20,female,divorced/separated/married,1,rent,3,skilled employee / official,4 years,7 years,,1,Very high,,
1388888,30,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,,0,2 lac
1186232,47,male,single,2,own,3,unskilled - resident,4 years,7 years,,1,Low,0,2 lac
1358802,34,male,single,1,own,3,management / self-employed / highly qualified employee / officer,4 years,7 years,,1,Medium,,
1703163,25,female,divorced/separated/married,1,own,2,skilled employee / official,7 years,,Registered under the applicant's name,1,,0,2 lac
1581463,21,male,married/widowed,1,rent,3,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,0,2 lac
1412269,29,male,single,1,own,2,skilled employee / official,7 years,,,1,Low,,
1787696,46,male,single,1,own,3,skilled employee / official,1 year,4 years,,1,Very high,,
1657309,20,male,single,1,own,4,skilled employee / official,7 years,,,1,Low,,
1817813,55,female,divorced/separated/married,2,for free,4,unemployed / unskilled - non-resident,,0 year,,1,Low,,0
1534316,74,male,single,1,own,4,unskilled - resident,4 years,7 years,,1,Low,,
1304185,29,male,single,1,own,3,management / self-employed / highly qualified employee / officer,1 year,4 years,Registered under the applicant's name,1,Low,0,2 lac
1714829,36,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,Low,,0
1796503,33,male,divorced/separated,1,own,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,
1336695,25,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,0
1879817,25,male,married/widowed,1,own,1,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,,0,2 lac
1779410,23,male,married/widowed,1,rent,4,unskilled - resident,4 years,7 years,,1,High,,
1727640,37,female,divorced/separated/married,1,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Very high,,
1119602,65,male,single,1,own,4,unemployed / unskilled - non-resident,,0 year,,1,Low,,0
1548375,26,female,divorced/separated/married,1,own,1,unemployed / unskilled - non-resident,0 year,1 year,,1,Low,2 lac,
1515084,39,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,,
1523394,30,female,divorced/separated/married,1,own,3,skilled employee / official,1 year,4 years,,1,Low,,0
1327436,29,male,single,1,own,3,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,0,2 lac
1769463,41,male,single,2,own,4,unskilled - resident,7 years,,,1,Low,,
1454649,30,female,divorced/separated/married,1,own,3,management / self-employed / highly qualified employee / officer,1 year,4 years,Registered under the applicant's name,1,Low,0,2 lac
1282543,41,female,divorced/separated/married,1,rent,4,unskilled - resident,7 years,,,1,,,
1604148,34,female,divorced/separated/married,1,own,4,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Low,,0
1461545,35,male,single,1,own,2,skilled employee / official,1 year,4 years,,1,Low,0,2 lac
1579121,55,female,divorced/separated/married,1,own,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,,2 lac,
1662555,61,male,married/widowed,1,own,3,skilled employee / official,1 year,4 years,,1,Very high,0,2 lac
1451745,30,male,single,1,own,2,management / self-employed / highly qualified employee / officer,1 year,4 years,Registered under the applicant's name,1,,,
1590235,29,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,4 years,,1,Low,,
1610382,34,male,single,1,own,4,skilled employee / official,7 years,,,1,Low,,
1611614,35,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,,
1790490,31,male,single,1,own,3,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Low,,0
1396015,29,female,divorced/separated/married,1,own,1,management / self-employed / highly qualified employee / officer,0 year,1 year,Registered under the applicant's name,1,Low,,
1140019,36,male,single,2,rent,2,skilled employee / official,1 year,4 years,,1,Low,,0
1751876,35,male,single,1,for free,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Low,,0
1344543,27,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1 year,,1,Low,,0
1486366,32,male,single,1,own,2,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Low,,
1862524,37,male,single,2,own,2,skilled employee / official,1 year,4 years,,1,Low,,0
1794199,36,male,single,1,own,3,skilled employee / official,0 year,1 year,,1,Low,,0
1114695,34,female,divorced/separated/married,1,rent,1,management / self-employed / highly qualified employee / officer,0 year,1 year,,1,Low,0,2 lac
1252248,38,male,single,1,own,4,skilled employee / official,7 years,,,1,,0,2 lac
1333603,34,male,single,1,own,1,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Low,,
1253927,63,male,single,2,own,4,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,0
1255808,29,female,divorced/separated/married,1,rent,2,unskilled - resident,0 year,1 year,Registered under the applicant's name,1,Low,,0
1777177,32,male,single,2,own,3,skilled employee / official,7 years,,,1,,,
1347859,26,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,
1179829,35,male,single,1,own,3,unskilled - resident,4 years,7 years,Registered under the applicant's name,1,Low,,
1584896,22,male,married/widowed,1,rent,2,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Medium,0,2 lac
1165835,23,female,divorced/separated/married,1,own,4,skilled employee / official,0 year,1 year,,1,Low,,0
1420000,28,male,single,1,own,3,unskilled - resident,1 year,4 years,,1,Low,,0
1792340,36,male,single,2,own,4,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,,,
1154530,33,male,married/widowed,1,own,2,skilled employee / official,1 year,4 years,,1,Low,0,2 lac
1464283,26,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,,1,Low,,0
1643578,24,male,single,1,own,4,skilled employee / official,1 year,4 years,,1,High,,
1724729,25,male,single,1,own,2,skilled employee / official,4 years,7 years,,1,Low,2 lac,
1305749,39,male,single,1,own,4,unskilled - resident,4 years,7 years,,1,Medium,0,2 lac
1640580,44,male,single,2,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Low,,0
1572070,23,female,divorced/separated/married,1,own,1,unskilled - resident,1 year,4 years,,1,Low,0,2 lac
1719894,26,male,single,1,own,1,skilled employee / official,0 year,1 year,,1,Low,0,2 lac
1179715,57,female,divorced/separated/married,1,rent,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Very high,,0
1648432,30,female,divorced/separated/married,1,own,2,skilled employee / official,4 years,7 years,,1,Very high,,
1809085,44,male,single,1,own,4,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,High,,
1595096,47,male,single,1,own,4,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,Low,0,2 lac
1280201,52,male,single,1,own,4,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,
1512766,62,female,divorced/separated/married,1,for free,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Low,,
1355440,35,male,single,1,rent,2,unskilled - resident,1 year,4 years,,0,Medium,,
1237459,26,male,single,1,rent,3,skilled employee / official,1 year,4 years,,1,Low,,
1874619,26,male,single,1,own,2,skilled employee / official,7 years,,,1,Low,,
1867397,42,female,divorced/separated/married,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Low,0,2 lac
1797961,27,female,divorced/separated/married,1,own,1,skilled employee / official,1 year,4 years,,1,Medium,,
1773539,38,male,single,1,own,4,skilled employee / official,7 years,,,1,,0,2 lac
1518424,39,male,single,2,rent,2,unskilled - resident,1 year,4 years,,0,Low,,0
1833845,20,male,married/widowed,1,own,4,skilled employee / official,1 year,4 years,,1,,,0
1728313,29,male,single,1,rent,1,management / self-employed / highly qualified employee / officer,0 year,1 year,Registered under the applicant's name,1,Medium,0,2 lac
1611295,40,male,single,1,own,3,skilled employee / official,4 years,7 years,,1,Low,,
1680973,32,male,married/widowed,1,own,2,unskilled - resident,7 years,,,1,Low,0,2 lac
1325678,28,male,divorced/separated,2,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Medium,2 lac,
1566812,27,female,divorced/separated/married,1,own,1,skilled employee / official,0 year,1 year,,1,Low,,0
1402031,42,male,single,2,for free,4,skilled employee / official,7 years,,,1,Low,,0
1787792,49,male,divorced/separated,1,own,4,skilled employee / official,7 years,,,1,Medium,2 lac,
1893730,38,male,single,2,own,4,skilled employee / official,0 year,1 year,,1,Medium,0,2 lac
1391963,24,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,,1,Low,,0
1359833,27,male,single,1,own,4,unskilled - resident,1 year,4 years,,1,,,
1860964,36,male,single,1,own,2,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,High,2 lac,
1397210,34,male,single,2,own,2,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,Medium,0,2 lac
1300113,28,male,married/widowed,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,
1121978,45,male,single,1,own,2,management / self-employed / highly qualified employee / officer,7 years,,Registered under the applicant's name,1,Medium,,
1625109,26,male,single,1,own,2,skilled employee / official,4 years,7 years,,1,Low,,0
1591192,32,male,single,1,for free,2,management / self-employed / highly qualified employee / officer,1 year,4 years,Registered under the applicant's name,1,Low,,
1439117,26,male,single,1,rent,4,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Low,2 lac,
1597948,20,male,married/widowed,1,rent,4,skilled employee / official,1 year,4 years,,1,Low,0,2 lac
1436931,54,male,single,1,own,1,skilled employee / official,0 year,1 year,,1,,,
1359864,37,female,divorced/separated/married,1,own,3,skilled employee / official,4 years,7 years,,0,Low,,0
1279507,40,male,single,2,own,4,unskilled - resident,0 year,1 year,,0,Low,,0
1250900,23,female,divorced/separated/married,1,rent,4,skilled employee / official,0 year,1 year,Registered under the applicant's name,1,Low,,
1672101,43,male,single,1,own,2,skilled employee / official,7 years,,Registered under the applicant's name,1,Medium,,0
1541522,36,male,single,1,for free,4,skilled employee / official,7 years,,,1,,,
1542760,44,male,single,1,for free,4,skilled employee / official,7 years,,,1,Low,,
1312890,24,female,divorced/separated/married,1,own,2,skilled employee / official,1 year,4 years,,1,Low,,0
1575976,53,male,single,2,for free,4,skilled employee / official,1 year,4 years,,1,Low,,0
1300737,23,female,divorced/separated/married,1,own,4,skilled employee / official,4 years,7 years,,1,Medium,,
1579354,26,female,divorced/separated/married,2,own,4,unskilled - resident,1 year,4 years,,1,Low,0,2 lac
1165396,30,male,single,1,own,3,skilled employee / official,0 year,1 year,,1,Low,0,2 lac
1845999,31,female,divorced/separated/married,1,own,3,skilled employee / official,1 year,4 years,,1,Medium,,
1836203,42,male,single,2,own,1,unskilled - resident,4 years,7 years,,1,Low,,
1796884,31,male,divorced/separated,1,rent,4,skilled employee / official,1 year,4 years,,1,Low,,0
1545916,41,male,single,2,own,4,unskilled - resident,0 year,1 year,Registered under the applicant's name,1,Low,,0
1666376,32,male,single,2,own,1,skilled employee / official,4 years,7 years,,1,Low,0,2 lac
1337077,28,female,divorced/separated/married,1,rent,4,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Medium,0,2 lac
1670246,41,male,married/widowed,1,rent,4,skilled employee / official,1 year,4 years,,1,Low,,
1112826,26,male,married/widowed,1,own,3,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Medium,,
1321430,25,male,single,1,own,2,skilled employee / official,0 year,1 year,,1,,,
1602400,33,male,divorced/separated,1,rent,1,skilled employee / official,0 year,1 year,,1,Low,2 lac,
1381249,75,female,divorced/separated/married,1,own,3,management / self-employed / highly qualified employee / officer,,0 year,Registered under the applicant's name,1,,,0
1815409,37,female,divorced/separated/married,1,own,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Low,0,2 lac
1762049,42,male,single,1,for free,4,management / self-employed / highly qualified employee / officer,7 years,,,1,Low,,0
1776853,45,female,divorced/separated/married,1,own,1,unskilled - resident,0 year,1 year,,1,Low,2 lac,
1234944,23,male,married/widowed,1,rent,1,skilled employee / official,0 year,1 year,,1,Low,0,2 lac
1185915,60,male,single,1,for free,4,skilled employee / official,7 years,,Registered under the applicant's name,1,Low,,
1355416,31,male,single,1,own,4,skilled employee / official,7 years,,,1,,,0
1736265,34,male,single,2,own,1,unskilled - resident,1 year,4 years,,1,Low,2 lac,
1258426,61,male,single,1,own,4,unskilled - resident,7 years,,,1,Low,,
1836234,43,male,single,2,for free,2,skilled employee / official,,0 year,,1,Low,,0
1296879,37,female,divorced/separated/married,1,own,4,skilled employee / official,1 year,4 years,Registered under the applicant's name,1,Low,,
1438110,32,male,single,2,own,1,skilled employee / official,4 years,7 years,,1,Low,,
1667627,24,female,divorced/separated/married,1,own,4,unskilled - resident,1 year,4 years,,1,Low,,0
1862061,35,male,single,1,for free,1,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,,,
1164275,23,female,divorced/separated/married,1,own,4,skilled employee / official,4 years,7 years,,1,,,
1863760,45,male,single,2,own,4,unskilled - resident,7 years,,,1,High,,
1199639,34,male,married/widowed,1,own,1,skilled employee / official,4 years,7 years,Registered under the applicant's name,1,Low,,0
1774959,27,male,single,1,own,1,skilled employee / official,0 year,1 year,,1,Medium,0,2 lac
1388041,67,female,divorced/separated/married,1,own,4,management / self-employed / highly qualified employee / officer,4 years,7 years,Registered under the applicant's name,1,Low,0,2 lac
